PC_NAME,PC_NO,reg_count,full_pay_count,part_pay_count,no_pay_count,extra_pay_count,no_install_paid,no_install_due,amount_paid,amount_due
ASKA,19,146924.0,23886.0,46250.0,11867.0,64921.0,696548.0,873595.0,1393096000.0,1747190000.0
BALASORE,6,201711.0,32169.0,55301.0,16770.0,97471.0,975126.0,1187744.0,1950252000.0,2375488000.0
BARGARH,1,193141.0,27223.0,43145.0,24068.0,98705.0,932698.0,1150702.0,1865396000.0,2301404000.0
BERHAMPUR,20,126513.0,19236.0,39787.0,9001.0,58489.0,612723.0,755635.0,1225446000.0,1511270000.0
BHADRAK (SC),7,235340.0,24324.0,59554.0,30067.0,121395.0,1044098.0,1304875.0,2088196000.0,2609750000.0
BHUBANESWAR,18,54400.0,6371.0,17904.0,5556.0,24569.0,240156.0,313649.0,480312000.0,627298000.0
BOLANGIR,10,282734.0,45166.0,71502.0,23551.0,142515.0,1404161.0,1658034.0,2808322000.0,3316068000.0
CUTTACK,14,121441.0,19109.0,43021.0,11677.0,47634.0,532830.0,720322.0,1065660000.0,1440644000.0
DHENKANAL,9,190217.0,24626.0,54989.0,16361.0,94241.0,887304.0,1105647.0,1774608000.0,2211294000.0
JAGATSINGHPUR (SC),16,216322.0,32843.0,72538.0,18706.0,92235.0,983666.0,1284202.0,1967332000.0,2568404000.0
JAJPUR (SC),8,157229.0,21435.0,54676.0,12465.0,68653.0,685377.0,898171.0,1370754000.0,1796342000.0
KALAHANDI,11,245558.0,35767.0,72660.0,22276.0,114855.0,1159986.0,1437258.0,2319972000.0,2874516000.0
KANDHAMAL,13,195365.0,28716.0,45526.0,11103.0,110020.0,1036179.0,1172154.0,2072358000.0,2344308000.0
KENDRAPARA,15,219256.0,33546.0,67824.0,20330.0,97556.0,1011971.0,1286094.0,2023942000.0,2572188000.0
KEONJHAR (ST),4,249282.0,45370.0,65538.0,16580.0,121794.0,1262114.0,1471340.0,2524228000.0,2942680000.0
KORAPUT (ST),21,157628.0,28379.0,52497.0,8197.0,68555.0,766998.0,937152.0,1533996000.0,1874304000.0
MAYURBHANJ (ST),5,235674.0,40857.0,57245.0,12085.0,125487.0,1243568.0,1382947.0,2487136000.0,2765894000.0
NABARANGPUR (ST),12,216477.0,26911.0,56660.0,21993.0,110913.0,1012431.0,1202972.0,2024862000.0,2405944000.0
PURI,17,188029.0,28886.0,64073.0,18304.0,76766.0,844242.0,1128566.0,1688484000.0,2257132000.0
SAMBALPUR,3,205868.0,36977.0,57041.0,12948.0,98902.0,1039234.0,1242942.0,2078468000.0,2485884000.0
SUNDARGARH (ST),2,169223.0,27772.0,28607.0,8997.0,103847.0,949464.0,999942.0,1898928000.0,1999884000.0
